[2026-06-11 10:22:05] TEXT: "take off" | INTENT: TAKEOFF | CONF: 1.00 | STATUS: TAKEOFF_ACTIVE_ALT_5.0
[2026-06-11 10:30:34] TEXT: "take off" | INTENT: TAKEOFF | CONF: 1.00 | STATUS: TAKEOFF_ACTIVE_ALT_5.0
[2026-06-11 10:30:42] TEXT: "move forward move backward" | INTENT: MOVE_FORWARD | CONF: 0.90 | STATUS: MOVE_EXEC_VAL_5.0
[2026-06-11 10:31:44] TEXT: "takeoff" | INTENT: TAKEOFF | CONF: 0.93 | STATUS: TAKEOFF_COMPLETE_ALT_5.0
[2026-06-11 10:31:55] TEXT: "takeoff" | INTENT: TAKEOFF | CONF: 0.93 | STATUS: TAKEOFF_FAILED
[2026-06-11 10:32:01] TEXT: "go home" | INTENT: RTL | CONF: 1.00 | STATUS: MODE_RTL
[2026-06-11 10:32:20] TEXT: "takeoff" | INTENT: TAKEOFF | CONF: 0.93 | STATUS: TAKEOFF_COMPLETE_ALT_5.0
[2026-06-11 10:34:29] TEXT: "takeoff" | INTENT: TAKEOFF | CONF: 0.93 | STATUS: TAKEOFF_COMPLETE_ALT_5.0
[2026-06-11 10:34:36] TEXT: "go home camera zoom record video take photo" | INTENT: RTL | CONF: 0.90 | STATUS: MODE_RTL
[2026-06-11 10:35:01] TEXT: "camera zoom record video" | INTENT: SAVE_WAYPOINT | CONF: 0.85 | STATUS: UNHANDLED_INTENT
[2026-06-11 10:46:46] TEXT: "go home" | INTENT: RTL | CONF: 1.00 | STATUS: MODE_RTL
[2026-06-11 10:48:31] TEXT: "takeoff" | INTENT: TAKEOFF | CONF: 0.93 | STATUS: TAKEOFF_COMPLETE_ALT_5.0
[2026-06-11 10:52:33] TEXT: "takeoff" | INTENT: TAKEOFF | CONF: 0.93 | STATUS: TAKEOFF_COMPLETE_ALT_5.0
[2026-06-11 11:04:49] TEXT: "takeoff" | INTENT: TAKEOFF | CONF: 0.93 | STATUS: TAKEOFF_COMPLETE_ALT_5.0
[2026-06-11 11:04:57] TEXT: "take off" | INTENT: TAKEOFF | CONF: 1.00 | STATUS: TAKEOFF_FAILED
[2026-06-11 11:22:15] TEXT: "takeoff" | INTENT: TAKEOFF | CONF: 0.93 | STATUS: TAKEOFF_COMPLETE_ALT_5.0
[2026-06-11 11:22:31] TEXT: "go home" | INTENT: RTL | CONF: 1.00 | STATUS: MODE_RTL
[2026-06-11 11:23:03] TEXT: "takeoff" | INTENT: TAKEOFF | CONF: 0.93 | STATUS: TAKEOFF_COMPLETE_ALT_5.0
[2026-06-11 11:23:19] TEXT: "go home" | INTENT: RTL | CONF: 1.00 | STATUS: MODE_RTL
[2026-06-11 11:23:41] TEXT: "takeoff" | INTENT: TAKEOFF | CONF: 0.93 | STATUS: TAKEOFF_COMPLETE_ALT_5.0
[2026-06-11 11:24:09] TEXT: "take off" | INTENT: TAKEOFF | CONF: 1.00 | STATUS: TAKEOFF_FAILED
[2026-06-11 11:24:22] TEXT: "take off" | INTENT: TAKEOFF | CONF: 1.00 | STATUS: TAKEOFF_COMPLETE_ALT_5.0
[2026-06-11 11:24:31] TEXT: "go home" | INTENT: RTL | CONF: 1.00 | STATUS: MODE_RTL
[2026-06-11 11:24:55] TEXT: "takeoff" | INTENT: TAKEOFF | CONF: 0.93 | STATUS: TAKEOFF_FAILED
[2026-06-11 11:25:09] TEXT: "go home" | INTENT: RTL | CONF: 1.00 | STATUS: MODE_RTL
[2026-06-11 11:25:45] TEXT: "go home" | INTENT: RTL | CONF: 1.00 | STATUS: MODE_RTL
[2026-06-11 11:26:32] TEXT: "fly up go home" | INTENT: RTL | CONF: 0.90 | STATUS: MODE_RTL
[2026-06-11 11:26:40] TEXT: "camera zoom record video" | INTENT: SAVE_WAYPOINT | CONF: 0.85 | STATUS: UNHANDLED_INTENT
[2026-06-11 11:27:04] TEXT: "take off" | INTENT: TAKEOFF | CONF: 1.00 | STATUS: TAKEOFF_COMPLETE_ALT_5.0
